ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,STOCK_MINIMO,STOCK_MAXIMO,STOCK_RECUENTOS,STOCK_TEORICO,FECHA_HORA_EJECUCION_STOCK_RECUENTOS,FECHA_HORA_EJECUCION_STOCK_TEORICO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,FECHA_HORA_ACTUALIZACION_STOCK_TEORICO,CAPACIDAD_MAXIMA,ID_ALIAS_ANALYTICS,STOCK_RECUENTOS_VALIDADO_BULTOS,STOCK_MINIMO_BULTOS,CAPACIDAD_MAXIMA_VALIDADA_BULTOS,RN,año_mes,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
232,16742,,,100,3850.0,3850,2025-03-27 10:45:14.400,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-03-28 14:07:35.498,BATCH_RAM,,,2025-04-02 00:00:00.000,10500.0,,11,,30),(232,2025-03,0,4550.0,8.423102268016642
232,7419,,,100,2100.0,3011,2024-11-13 17:02:52.793,2025-01-27 01:46:19.271,2024-07-30 12:00:28.212,RAM,2025-01-17 12:54:11.111,BATCH_RAM,,,2025-01-21 00:00:00.000,2800.0,,6,,8),(232,2024-11,0,140.0,4.948759890378168
232,11930,,,100,3150.0,3445,2025-06-03 13:24:09.400,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,2100.0,,1,,5),(232,2025-06,0,0.0,0.0
232,10362,,,100,2450.0,0,2025-06-02 08:46:21.140,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,1750.0,,1,,5),(232,2025-06,0,0.0,0.0
232,12790,,,100,8400.0,32389,2025-06-03 14:18:18.436,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,10500.0,,,,30),(232,2025-06,0,0.0,0.0
233,7431,,,100,0.0,2452,2025-06-03 14:09:36.328,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,2000.0,,4,,4),(233,2025-06,1,1600.0,7.3783837129967145
233,10838,,,100,0.0,1983,2025-06-03 14:29:35.584,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,1600.0,,10,,8),(233,2025-06,1,1280.0,7.155396301896734
233,2909,,,100,7200.0,6302,2025-06-04 15:30:49.242,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,4800.0,,12,,12),(167,2025-06,0,0.0,0.0
122,1181,,,100,1600.0,1198,2025-05-29 15:05:07.289,2025-06-20 09:15:20.300,2024-08-07 17:43:59.250,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,1600.0,,2,,4),(122,2025-05,0,0.0,0.0
120,1181,,,100,250.0,0,2025-05-29 15:05:07.289,2025-06-20 09:15:20.300,2024-08-07 17:42:07.431,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,1000.0,,3,,4),(120,2025-05,0,550.0,6.311734809152915
126,1339,,,100,1200.0,1726,2024-11-11 12:15:05.389,2025-02-03 01:46:22.381,2024-08-07 17:45:47.261,RAM,2025-01-17 11:47:45.927,BATCH_RAM,,,2025-01-27 00:00:00.000,1500.0,,4,,5),(126,2024-11,0,0.0,0.0
