ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,ID_ALIAS_ANALYTICS,RN,año_mes,semana_del_año,dia_del_año,es_fin_semana,mes_sen,mes_cos,dia_semana_sen,dia_semana_cos,es_temporada_alta,dato_muy_reciente,dato_reciente,dato_medio,dato_antiguo,antiguedad_normalizada,alias_frecuencia,alias_pct_fin_semana,alias_pct_temporada_alta,alias_coef_variacion,alias_popularidad,loc_diversidad_alias,loc_num_registros,loc_tamaño,loc_diversidad,es_alias_popular_loc_grande,es_alias_popular_loc_pequeña,alias_frecuencia_log,alias_coef_variacion_sqrt,alias_popularidad_Alta,alias_popularidad_Baja,alias_popularidad_Media,loc_tamaño_Grande,loc_tamaño_Mediana,loc_tamaño_Pequeña,dato_muy_reciente_win,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
209,16765,,2024-07-30 12:00:28.212,RAM,2025-04-14 11:34:39.204,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(230,2024-11,46,319,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,1,0,0,0,1,0.33175355450236965,17,0.0,0.706,0.0,Baja,1,1,Pequeña,Baja,0,0,2.8903717578961645,0.0,0,1,0,0,0,1,0,0,0.0,0.0
229,13915,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(229,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,51,0.059,0.333,0.7398053321687026,Alta,3,3,Mediana,Alta,0,0,3.9512437185814275,0.8601193708833109,1,0,0,0,1,0,0,0,120.0,4.795790545596741
230,7537,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(230,2024-11,46,317,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1,0,0,0,1,0.334913112164297,50,0.02,0.4,0.7841738738738738,Alta,2,2,Mediana,Media,0,0,3.9318256327243257,0.8855359246658906,1,0,0,0,1,0,0,0,0.0,0.0
230,10316,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(230,2024-11,46,316,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1,0,0,0,1,0.33649289099526064,50,0.02,0.4,0.7841738738738738,Alta,2,2,Mediana,Media,0,0,3.9318256327243257,0.8855359246658906,1,0,0,0,1,0,0,0,120.0,4.795790545596741
230,12453,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(230,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.01579778830963665,50,0.02,0.4,0.7841738738738738,Alta,2,2,Mediana,Media,0,0,3.9318256327243257,0.8855359246658906,1,0,0,0,1,0,0,0,0.0,0.0
230,11562,,2024-07-30 12:00:28.212,RAM,2025-01-17 13:34:50.912,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(230,2024-11,46,318,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1,0,0,0,1,0.3333333333333333,50,0.02,0.4,0.7841738738738738,Alta,1,1,Mediana,Baja,0,0,3.9318256327243257,0.8855359246658906,1,0,0,0,1,0,0,0,0.0,0.0
231,2908,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(231,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,47,0.021,0.277,0.9168868468587484,Media,1,1,Grande,Baja,0,0,3.871201010907891,0.9575420862075715,0,0,1,1,0,0,0,0,2500.0,7.824445930877619
231,7543,,2024-07-30 12:00:28.212,RAM,2025-01-17 12:56:09.995,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(231,2024-11,46,318,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1,0,0,0,1,0.3333333333333333,47,0.021,0.277,0.9168868468587484,Media,2,2,Mediana,Media,0,0,3.871201010907891,0.9575420862075715,0,0,1,0,1,0,0,0,0.0,0.0
231,16142,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(231,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.01579778830963665,47,0.021,0.277,0.9168868468587484,Media,1,1,Mediana,Baja,0,0,3.871201010907891,0.9575420862075715,0,0,1,0,1,0,0,0,0.0,0.0
232,16742,,2024-07-30 12:00:28.212,RAM,2025-03-28 14:07:35.498,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(232,2025-03,13,86,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.12322274881516587,53,0.057,0.245,0.7660676519880604,Alta,2,2,Grande,Media,1,0,3.9889840465642745,0.8752529074433631,1,0,0,1,0,0,0,0,4550.0,8.423102268016642
232,7419,,2024-07-30 12:00:28.212,RAM,2025-01-17 12:54:11.111,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(232,2024-11,46,318,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1,0,0,0,1,0.3333333333333333,53,0.057,0.245,0.7660676519880604,Alta,2,2,Grande,Media,1,0,3.9889840465642745,0.8752529074433631,1,0,0,1,0,0,0,0,140.0,4.948759890378168
232,11930,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(232,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,53,0.057,0.245,0.7660676519880604,Alta,2,2,Mediana,Media,0,0,3.9889840465642745,0.8752529074433631,1,0,0,0,1,0,0,0,0.0,0.0
232,10362,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(232,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.017377567140600316,53,0.057,0.245,0.7660676519880604,Alta,1,1,Mediana,Baja,0,0,3.9889840465642745,0.8752529074433631,1,0,0,0,1,0,0,0,0.0,0.0
232,12790,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(232,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,53,0.057,0.245,0.7660676519880604,Alta,3,3,Grande,Alta,1,0,3.9889840465642745,0.8752529074433631,1,0,0,1,0,0,0,0,0.0,0.0
233,7431,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(233,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,53,0.019,0.302,0.4819106744946951,Alta,2,2,Mediana,Media,0,0,3.9889840465642745,0.6941978640810522,1,0,0,0,1,0,0,1,1600.0,7.378383712996714
233,10838,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(233,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,53,0.019,0.302,0.4819106744946951,Alta,2,2,Mediana,Media,0,0,3.9889840465642745,0.6941978640810522,1,0,0,0,1,0,0,1,1280.0,7.155396301896734
