ID_LOCALIZACION_COMPRA,accuracy,count,real_restock_rate,pred_restock_rate,avg_quantity_error,total_real_quantity,total_pred_quantity
3047,1.0,2,0.5,0.5,9.79,64.0,83.579
3057,1.0,1,0.0,0.0,0.0,0.0,0.0
3071,0.0,1,0.0,1.0,2979.016,0.0,2979.016
3072,1.0,1,0.0,0.0,0.0,0.0,0.0
3085,0.0,1,1.0,0.0,440.0,440.0,0.0
3090,1.0,2,0.0,0.0,0.0,0.0,0.0
3109,1.0,1,0.0,0.0,0.0,0.0,0.0
3113,1.0,1,0.0,0.0,0.0,0.0,0.0
3115,1.0,1,1.0,1.0,2860.353,9000.0,6139.647
3124,1.0,1,0.0,0.0,0.0,0.0,0.0
3125,1.0,1,0.0,0.0,0.0,0.0,0.0
3126,1.0,1,0.0,0.0,0.0,0.0,0.0
3131,1.0,1,1.0,1.0,282.262,800.0,1082.262
3137,1.0,2,0.0,0.0,0.0,0.0,0.0
3147,1.0,2,0.0,0.0,0.0,0.0,0.0
3166,1.0,2,0.0,0.0,0.0,0.0,0.0
3173,1.0,2,0.5,0.5,104.081,480.0,688.162
3183,0.0,1,0.0,1.0,249.921,0.0,249.921
3184,0.0,1,0.0,1.0,418.849,0.0,418.849
3188,1.0,2,0.0,0.0,0.0,0.0,0.0
3189,0.0,1,0.0,1.0,93.177,0.0,93.177
3190,0.0,1,0.0,1.0,810.362,0.0,810.362
3195,0.0,2,0.0,1.0,1294.702,0.0,2589.403
3211,1.0,1,1.0,1.0,21.209,120.0,98.791
3214,1.0,1,0.0,0.0,0.0,0.0,0.0
3219,0.5,2,0.5,1.0,557.904,960.0,1434.139
3226,1.0,3,1.0,1.0,892.764,6720.0,4171.169
3229,1.0,1,0.0,0.0,0.0,0.0,0.0
3231,1.0,1,0.0,0.0,0.0,0.0,0.0
3250,1.0,1,1.0,1.0,387.271,480.0,867.271
3256,1.0,1,1.0,1.0,20.869,128.0,148.869
3257,1.0,1,0.0,0.0,0.0,0.0,0.0
3258,0.0,1,0.0,1.0,1168.89,0.0,1168.89
3261,0.0,1,0.0,1.0,1421.151,0.0,1421.151
3279,1.0,2,0.0,0.0,0.0,0.0,0.0
3285,1.0,1,1.0,1.0,103.611,140.0,243.611
3291,1.0,1,0.0,0.0,0.0,0.0,0.0
3297,0.5,2,0.0,0.5,3075.472,0.0,6150.945
3307,1.0,1,0.0,0.0,0.0,0.0,0.0
3308,1.0,1,1.0,1.0,89.498,64.0,153.498
3316,0.5,2,0.5,0.0,8.0,16.0,0.0
3327,1.0,1,0.0,0.0,0.0,0.0,0.0
3331,1.0,1,1.0,1.0,66.615,2700.0,2766.615
3340,1.0,1,1.0,1.0,200.61,320.0,119.39
3356,1.0,3,0.333,0.333,32.509,64.0,161.527
3357,0.5,2,0.5,1.0,96.244,240.0,308.073
3375,1.0,1,0.0,0.0,0.0,0.0,0.0
3391,1.0,1,0.0,0.0,0.0,0.0,0.0
3400,1.0,1,0.0,0.0,0.0,0.0,0.0
3401,1.0,2,0.0,0.0,0.0,0.0,0.0
3402,0.0,2,1.0,0.0,1920.0,3840.0,0.0
3404,1.0,1,1.0,1.0,389.599,900.0,510.401
3406,1.0,1,1.0,1.0,89.498,64.0,153.498
3413,0.0,1,0.0,1.0,688.162,0.0,688.162
3428,1.0,2,0.0,0.0,0.0,0.0,0.0
3431,1.0,1,1.0,1.0,433.385,3200.0,2766.615
3436,0.5,2,0.5,1.0,156.62,120.0,433.24
3452,1.0,1,1.0,1.0,24.434,16.0,40.434
3456,1.0,1,0.0,0.0,0.0,0.0,0.0
3459,0.0,1,0.0,1.0,2611.627,0.0,2611.627
3464,0.5,2,0.0,0.5,80.444,0.0,160.889
3471,0.5,2,0.0,0.5,322.419,0.0,644.838
3474,1.0,1,0.0,0.0,0.0,0.0,0.0
3478,1.0,1,1.0,1.0,14.005,160.0,145.995
3481,1.0,1,1.0,1.0,265.383,2000.0,2265.383
3483,0.5,2,0.0,0.5,1098.341,0.0,2196.681
3495,1.0,1,0.0,0.0,0.0,0.0,0.0
3496,1.0,1,0.0,0.0,0.0,0.0,0.0
3497,0.0,1,0.0,1.0,2281.545,0.0,2281.545
3504,1.0,1,1.0,1.0,355.358,1600.0,1244.642
3505,1.0,2,0.0,0.0,0.0,0.0,0.0
3513,0.0,1,0.0,1.0,816.019,0.0,816.019
3514,1.0,1,0.0,0.0,0.0,0.0,0.0
3518,0.0,1,1.0,0.0,160.0,160.0,0.0
3533,1.0,3,0.0,0.0,0.0,0.0,0.0
3534,0.0,1,0.0,1.0,972.637,0.0,972.637
3563,1.0,1,0.0,0.0,0.0,0.0,0.0
3565,1.0,1,1.0,1.0,1207.738,480.0,1687.738
3573,1.0,1,0.0,0.0,0.0,0.0,0.0
3590,1.0,1,0.0,0.0,0.0,0.0,0.0
3600,0.333,3,0.0,0.667,393.731,0.0,1181.193
3606,0.5,2,0.0,0.5,1247.595,0.0,2495.189
3609,0.0,1,0.0,1.0,286.251,0.0,286.251
3626,1.0,1,0.0,0.0,0.0,0.0,0.0
3639,1.0,2,1.0,1.0,83.559,544.0,711.118
3644,0.5,2,1.0,0.5,2471.023,5400.0,2342.047
3657,1.0,3,0.667,0.667,27.604,128.0,210.812
3669,1.0,1,1.0,1.0,1608.392,4000.0,2391.608
3680,1.0,1,1.0,1.0,54.097,160.0,214.097
3681,1.0,2,0.0,0.0,0.0,0.0,0.0
3687,1.0,1,0.0,0.0,0.0,0.0,0.0
3690,1.0,1,0.0,0.0,0.0,0.0,0.0
3695,1.0,1,0.0,0.0,0.0,0.0,0.0
3708,1.0,1,0.0,0.0,0.0,0.0,0.0
3712,1.0,1,1.0,1.0,701.718,3500.0,2798.282
3729,1.0,1,0.0,0.0,0.0,0.0,0.0
3737,0.0,1,1.0,0.0,48000.0,48000.0,0.0
3738,0.0,1,0.0,1.0,2196.299,0.0,2196.299
3742,0.0,1,0.0,1.0,86.887,0.0,86.887
3748,1.0,1,1.0,1.0,205.626,450.0,244.374
3775,0.0,1,0.0,1.0,462.386,0.0,462.386
3784,1.0,1,0.0,0.0,0.0,0.0,0.0
3791,1.0,1,1.0,1.0,450.282,1600.0,2050.282
3801,1.0,1,1.0,1.0,93.638,120.0,213.638
3807,1.0,1,1.0,1.0,2094.616,400.0,2494.616
3819,0.0,1,0.0,1.0,1421.151,0.0,1421.151
3820,1.0,1,1.0,1.0,47.866,32.0,79.866
3826,1.0,1,1.0,1.0,115.552,64.0,179.552
3827,1.0,1,0.0,0.0,0.0,0.0,0.0
